sample_id,protocol,scenario,client_name,client_ip,server_name,server_ip,client_buffer_bytes,server_buffer_bytes,duration,avg_bps,total_bytes,total_packets,total_lost_or_retrans,packet_loss_rate,avg_jitter_ms,congestion_level,recommended_buffer_bytes,file_path
34,udp,A,leaf01,192.168.200.7,server02-1,192.168.200.19,2097152,1048576,30,250000000.0,937500000,1035911,990,0.000957,6.039401,low,65536,./data/udp_test/A/iperf_udp_sample_000034_leaf01_to_server02-1_A.json
35,udp,A,leaf01,192.168.200.7,server02-1,192.168.200.19,2097152,1048576,30,250000000.0,937500000,1035911,215,0.000208,6.330242,low,65536,./data/udp_test/A/iperf_udp_sample_000035_leaf01_to_server02-1_A.json
36,udp,A,leaf01,192.168.200.7,server02-1,192.168.200.19,2097152,1048576,30,250000000.0,937500000,1035911,2,2e-06,6.000667,low,65536,./data/udp_test/A/iperf_udp_sample_000036_leaf01_to_server02-1_A.json
37,udp,A,leaf01,192.168.200.7,server02-2,192.168.200.20,2097152,65536,30,250000000.0,937500000,1035911,709,0.000685,6.486302,low,65536,./data/udp_test/A/iperf_udp_sample_000037_leaf01_to_server02-2_A.json
38,udp,A,leaf01,192.168.200.7,server02-2,192.168.200.20,2097152,65536,30,250000000.0,937500000,1035911,494,0.000477,6.699738,low,65536,./data/udp_test/A/iperf_udp_sample_000038_leaf01_to_server02-2_A.json
39,udp,A,leaf01,192.168.200.7,server02-2,192.168.200.20,2097152,65536,30,250000000.0,937500000,1035911,965,0.000932,6.459792,low,65536,./data/udp_test/A/iperf_udp_sample_000039_leaf01_to_server02-2_A.json
40,udp,A,leaf01,192.168.200.7,server02-3,192.168.200.21,2097152,1048576,30,250000000.0,937500000,1035911,483,0.000467,6.530055,low,65536,./data/udp_test/A/iperf_udp_sample_000040_leaf01_to_server02-3_A.json
41,udp,A,leaf01,192.168.200.7,server02-3,192.168.200.21,2097152,1048576,30,250000000.0,937500000,1035911,837,0.000808,6.104002,low,65536,./data/udp_test/A/iperf_udp_sample_000041_leaf01_to_server02-3_A.json
42,udp,A,leaf01,192.168.200.7,server02-3,192.168.200.21,2097152,1048576,30,250000000.0,937500000,1035911,969,0.000935,6.48503,low,65536,./data/udp_test/A/iperf_udp_sample_000042_leaf01_to_server02-3_A.json
43,udp,A,leaf01,192.168.200.7,server02-4,192.168.200.22,2097152,524288,30,250000000.0,937500000,1035911,836,0.000807,6.351235,low,65536,./data/udp_test/A/iperf_udp_sample_000043_leaf01_to_server02-4_A.json
44,udp,A,leaf01,192.168.200.7,server02-4,192.168.200.22,2097152,524288,30,250000000.0,937500000,1035911,540,0.000522,6.593005,low,65536,./data/udp_test/A/iperf_udp_sample_000044_leaf01_to_server02-4_A.json
45,udp,A,leaf01,192.168.200.7,server02-4,192.168.200.22,2097152,524288,30,250000000.0,937500000,1035911,492,0.000475,6.576168,low,65536,./data/udp_test/A/iperf_udp_sample_000045_leaf01_to_server02-4_A.json
46,udp,A,leaf01,192.168.200.7,server03-1,192.168.200.23,2097152,65536,30,250000000.0,937500000,1035911,23,2.3e-05,6.602765,low,65536,./data/udp_test/A/iperf_udp_sample_000046_leaf01_to_server03-1_A.json
47,udp,A,leaf01,192.168.200.7,server03-1,192.168.200.23,2097152,65536,30,250000000.0,937500000,1035911,542,0.000524,6.659869,low,65536,./data/udp_test/A/iperf_udp_sample_000047_leaf01_to_server03-1_A.json
48,udp,A,leaf01,192.168.200.7,server03-1,192.168.200.23,2097152,65536,30,250000000.0,937500000,1035911,160,0.000155,6.511197,low,65536,./data/udp_test/A/iperf_udp_sample_000048_leaf01_to_server03-1_A.json
49,udp,A,leaf01,192.168.200.7,server03-2,192.168.200.24,2097152,65536,30,250000000.0,937500000,1035911,81,7.9e-05,6.082639,low,65536,./data/udp_test/A/iperf_udp_sample_000049_leaf01_to_server03-2_A.json
50,udp,A,leaf01,192.168.200.7,server03-2,192.168.200.24,2097152,65536,30,250000000.0,937500000,1035911,1002,0.000967,6.607943,low,65536,./data/udp_test/A/iperf_udp_sample_000050_leaf01_to_server03-2_A.json
51,udp,A,leaf01,192.168.200.7,server03-2,192.168.200.24,2097152,65536,30,250000000.0,937500000,1035911,654,0.000632,6.572842,low,65536,./data/udp_test/A/iperf_udp_sample_000051_leaf01_to_server03-2_A.json
52,udp,A,leaf01,192.168.200.7,server03-3,192.168.200.25,2097152,65536,30,250000000.0,937500000,1035911,320,0.000309,6.371066,low,65536,./data/udp_test/A/iperf_udp_sample_000052_leaf01_to_server03-3_A.json
53,udp,A,leaf01,192.168.200.7,server03-3,192.168.200.25,2097152,65536,30,250000000.0,937500000,1035911,995,0.000961,6.565741,low,65536,./data/udp_test/A/iperf_udp_sample_000053_leaf01_to_server03-3_A.json
54,udp,A,leaf01,192.168.200.7,server03-3,192.168.200.25,2097152,65536,30,250000000.0,937500000,1035911,327,0.000317,6.591074,low,65536,./data/udp_test/A/iperf_udp_sample_000054_leaf01_to_server03-3_A.json
55,udp,A,leaf01,192.168.200.7,server03-4,192.168.200.26,2097152,131072,30,250000000.0,937500000,1035911,742,0.000716,6.341745,low,65536,./data/udp_test/A/iperf_udp_sample_000055_leaf01_to_server03-4_A.json
56,udp,A,leaf01,192.168.200.7,server03-4,192.168.200.26,2097152,131072,30,250000000.0,937500000,1035911,962,0.000929,6.02822,low,65536,./data/udp_test/A/iperf_udp_sample_000056_leaf01_to_server03-4_A.json
57,udp,A,leaf01,192.168.200.7,server03-4,192.168.200.26,2097152,131072,30,250000000.0,937500000,1035911,839,0.000811,6.623016,low,65536,./data/udp_test/A/iperf_udp_sample_000057_leaf01_to_server03-4_A.json
58,udp,A,leaf01,192.168.200.7,server04-1,192.168.200.27,2097152,131072,30,250000000.0,937500000,1035911,825,0.000797,6.633721,low,65536,./data/udp_test/A/iperf_udp_sample_000058_leaf01_to_server04-1_A.json
59,udp,A,leaf01,192.168.200.7,server04-1,192.168.200.27,2097152,131072,30,250000000.0,937500000,1035911,119,0.000116,6.480063,low,65536,./data/udp_test/A/iperf_udp_sample_000059_leaf01_to_server04-1_A.json
60,udp,A,leaf01,192.168.200.7,server04-1,192.168.200.27,2097152,131072,30,250000000.0,937500000,1035911,610,0.000589,6.401304,low,65536,./data/udp_test/A/iperf_udp_sample_000060_leaf01_to_server04-1_A.json
61,udp,A,leaf01,192.168.200.7,server04-2,192.168.200.28,2097152,1048576,30,250000000.0,937500000,1035911,547,0.000529,6.278804,low,65536,./data/udp_test/A/iperf_udp_sample_000061_leaf01_to_server04-2_A.json
62,udp,A,leaf01,192.168.200.7,server04-2,192.168.200.28,2097152,1048576,30,250000000.0,937500000,1035911,1006,0.000971,6.52246,low,65536,./data/udp_test/A/iperf_udp_sample_000062_leaf01_to_server04-2_A.json
63,udp,A,leaf01,192.168.200.7,server04-2,192.168.200.28,2097152,1048576,30,250000000.0,937500000,1035911,590,0.00057,6.479751,low,65536,./data/udp_test/A/iperf_udp_sample_000063_leaf01_to_server04-2_A.json
64,udp,A,leaf01,192.168.200.7,server04-3,192.168.200.29,2097152,1048576,30,250000000.0,937500000,1035911,230,0.000222,6.459932,low,65536,./data/udp_test/A/iperf_udp_sample_000064_leaf01_to_server04-3_A.json
65,udp,A,leaf01,192.168.200.7,server04-3,192.168.200.29,2097152,1048576,30,250000000.0,937500000,1035911,708,0.000684,6.446258,low,65536,./data/udp_test/A/iperf_udp_sample_000065_leaf01_to_server04-3_A.json
66,udp,A,leaf01,192.168.200.7,server04-3,192.168.200.29,2097152,1048576,30,250000000.0,937500000,1035911,704,0.00068,6.657525,low,65536,./data/udp_test/A/iperf_udp_sample_000066_leaf01_to_server04-3_A.json
67,udp,A,leaf01,192.168.200.7,server04-4,192.168.200.30,2097152,65536,30,250000000.0,937500000,1035911,205,0.000198,6.644835,low,65536,./data/udp_test/A/iperf_udp_sample_000067_leaf01_to_server04-4_A.json
68,udp,A,leaf01,192.168.200.7,server04-4,192.168.200.30,2097152,65536,30,250000000.0,937500000,1035911,25,2.5e-05,6.151702,low,65536,./data/udp_test/A/iperf_udp_sample_000068_leaf01_to_server04-4_A.json
69,udp,A,leaf01,192.168.200.7,server04-4,192.168.200.30,2097152,65536,30,250000000.0,937500000,1035911,374,0.000361,6.173316,low,65536,./data/udp_test/A/iperf_udp_sample_000069_leaf01_to_server04-4_A.json
70,udp,A,leaf01,192.168.200.7,server05-1,192.168.200.31,2097152,1048576,30,250000000.0,937500000,1035911,170,0.000165,6.539981,low,65536,./data/udp_test/A/iperf_udp_sample_000070_leaf01_to_server05-1_A.json
71,udp,A,leaf01,192.168.200.7,server05-1,192.168.200.31,2097152,1048576,30,250000000.0,937500000,1035911,643,0.000622,6.237938,low,65536,./data/udp_test/A/iperf_udp_sample_000071_leaf01_to_server05-1_A.json
72,udp,A,leaf01,192.168.200.7,server05-1,192.168.200.31,2097152,1048576,30,250000000.0,937500000,1035911,822,0.000794,6.436287,low,65536,./data/udp_test/A/iperf_udp_sample_000072_leaf01_to_server05-1_A.json
73,udp,A,leaf01,192.168.200.7,server05-2,192.168.200.32,2097152,131072,30,250000000.0,937500000,1035911,353,0.000342,6.080388,low,65536,./data/udp_test/A/iperf_udp_sample_000073_leaf01_to_server05-2_A.json
74,udp,A,leaf01,192.168.200.7,server05-2,192.168.200.32,2097152,131072,30,250000000.0,937500000,1035911,11,1.1e-05,6.207721,low,65536,./data/udp_test/A/iperf_udp_sample_000074_leaf01_to_server05-2_A.json
75,udp,A,leaf01,192.168.200.7,server05-2,192.168.200.32,2097152,131072,30,250000000.0,937500000,1035911,851,0.000822,6.665577,low,65536,./data/udp_test/A/iperf_udp_sample_000075_leaf01_to_server05-2_A.json
76,udp,A,leaf01,192.168.200.7,server05-3,192.168.200.33,2097152,2097152,30,250000000.0,937500000,1035911,531,0.000513,6.245118,low,65536,./data/udp_test/A/iperf_udp_sample_000076_leaf01_to_server05-3_A.json
77,udp,A,leaf01,192.168.200.7,server05-3,192.168.200.33,2097152,2097152,30,250000000.0,937500000,1035911,1021,0.000986,6.032854,low,65536,./data/udp_test/A/iperf_udp_sample_000077_leaf01_to_server05-3_A.json
78,udp,A,leaf01,192.168.200.7,server05-3,192.168.200.33,2097152,2097152,30,250000000.0,937500000,1035911,695,0.000671,6.249193,low,65536,./data/udp_test/A/iperf_udp_sample_000078_leaf01_to_server05-3_A.json
79,udp,A,leaf01,192.168.200.7,server05-4,192.168.200.34,2097152,2097152,30,250000000.0,937500000,1035911,100,9.7e-05,6.335176,low,65536,./data/udp_test/A/iperf_udp_sample_000079_leaf01_to_server05-4_A.json
80,udp,A,leaf01,192.168.200.7,server05-4,192.168.200.34,2097152,2097152,30,250000000.0,937500000,1035911,692,0.000669,6.074794,low,65536,./data/udp_test/A/iperf_udp_sample_000080_leaf01_to_server05-4_A.json
81,udp,A,leaf01,192.168.200.7,server05-4,192.168.200.34,2097152,2097152,30,250000000.0,937500000,1035911,230,0.000223,6.33433,low,65536,./data/udp_test/A/iperf_udp_sample_000081_leaf01_to_server05-4_A.json
82,udp,A,leaf01,192.168.200.7,server06-1,192.168.200.35,2097152,2097152,30,250000000.0,937500000,1035911,538,0.00052,6.42434,low,65536,./data/udp_test/A/iperf_udp_sample_000082_leaf01_to_server06-1_A.json
83,udp,A,leaf01,192.168.200.7,server06-1,192.168.200.35,2097152,2097152,30,250000000.0,937500000,1035911,1021,0.000986,6.633119,low,65536,./data/udp_test/A/iperf_udp_sample_000083_leaf01_to_server06-1_A.json
84,udp,A,leaf01,192.168.200.7,server06-1,192.168.200.35,2097152,2097152,30,250000000.0,937500000,1035911,827,0.000799,6.102688,low,65536,./data/udp_test/A/iperf_udp_sample_000084_leaf01_to_server06-1_A.json
85,udp,A,leaf01,192.168.200.7,server06-2,192.168.200.36,2097152,1048576,30,250000000.0,937500000,1035911,337,0.000326,6.506784,low,65536,./data/udp_test/A/iperf_udp_sample_000085_leaf01_to_server06-2_A.json
86,udp,A,leaf01,192.168.200.7,server06-2,192.168.200.36,2097152,1048576,30,250000000.0,937500000,1035911,670,0.000647,6.040073,low,65536,./data/udp_test/A/iperf_udp_sample_000086_leaf01_to_server06-2_A.json
87,udp,A,leaf01,192.168.200.7,server06-2,192.168.200.36,2097152,1048576,30,250000000.0,937500000,1035911,887,0.000857,6.669216,low,65536,./data/udp_test/A/iperf_udp_sample_000087_leaf01_to_server06-2_A.json
88,udp,A,leaf01,192.168.200.7,server06-3,192.168.200.37,2097152,524288,30,250000000.0,937500000,1035911,424,0.00041,6.090693,low,65536,./data/udp_test/A/iperf_udp_sample_000088_leaf01_to_server06-3_A.json
89,udp,A,leaf01,192.168.200.7,server06-3,192.168.200.37,2097152,524288,30,250000000.0,937500000,1035911,622,0.000601,6.035627,low,65536,./data/udp_test/A/iperf_udp_sample_000089_leaf01_to_server06-3_A.json
90,udp,A,leaf01,192.168.200.7,server06-3,192.168.200.37,2097152,524288,30,250000000.0,937500000,1035911,290,0.000281,6.606495,low,65536,./data/udp_test/A/iperf_udp_sample_000090_leaf01_to_server06-3_A.json
91,udp,A,leaf01,192.168.200.7,server06-4,192.168.200.38,2097152,131072,30,250000000.0,937500000,1035911,149,0.000144,6.039707,low,65536,./data/udp_test/A/iperf_udp_sample_000091_leaf01_to_server06-4_A.json
92,udp,A,leaf01,192.168.200.7,server06-4,192.168.200.38,2097152,131072,30,250000000.0,937500000,1035911,461,0.000446,6.088089,low,65536,./data/udp_test/A/iperf_udp_sample_000092_leaf01_to_server06-4_A.json
93,udp,A,leaf01,192.168.200.7,server06-4,192.168.200.38,2097152,131072,30,250000000.0,937500000,1035911,407,0.000393,6.662438,low,65536,./data/udp_test/A/iperf_udp_sample_000093_leaf01_to_server06-4_A.json
94,udp,A,leaf01,192.168.200.7,server07-1,192.168.200.39,2097152,524288,30,250000000.0,937500000,1035911,146,0.000142,6.392163,low,65536,./data/udp_test/A/iperf_udp_sample_000094_leaf01_to_server07-1_A.json
95,udp,A,leaf01,192.168.200.7,server07-1,192.168.200.39,2097152,524288,30,250000000.0,937500000,1035911,637,0.000615,6.116456,low,65536,./data/udp_test/A/iperf_udp_sample_000095_leaf01_to_server07-1_A.json
96,udp,A,leaf01,192.168.200.7,server07-1,192.168.200.39,2097152,524288,30,250000000.0,937500000,1035911,297,0.000287,6.500266,low,65536,./data/udp_test/A/iperf_udp_sample_000096_leaf01_to_server07-1_A.json
97,udp,A,leaf01,192.168.200.7,server07-2,192.168.200.40,2097152,1048576,30,250000000.0,937500000,1035911,942,0.00091,6.13287,low,65536,./data/udp_test/A/iperf_udp_sample_000097_leaf01_to_server07-2_A.json
98,udp,A,leaf01,192.168.200.7,server07-2,192.168.200.40,2097152,1048576,30,250000000.0,937500000,1035911,491,0.000474,6.625018,low,65536,./data/udp_test/A/iperf_udp_sample_000098_leaf01_to_server07-2_A.json
99,udp,A,leaf01,192.168.200.7,server07-2,192.168.200.40,2097152,1048576,30,250000000.0,937500000,1035911,954,0.000922,6.429286,low,65536,./data/udp_test/A/iperf_udp_sample_000099_leaf01_to_server07-2_A.json
100,udp,A,leaf01,192.168.200.7,server07-3,192.168.200.41,2097152,262144,30,250000000.0,937500000,1035911,177,0.000172,6.704057,low,65536,./data/udp_test/A/iperf_udp_sample_000100_leaf01_to_server07-3_A.json
101,udp,A,leaf01,192.168.200.7,server07-3,192.168.200.41,2097152,262144,30,250000000.0,937500000,1035911,936,0.000904,6.528115,low,65536,./data/udp_test/A/iperf_udp_sample_000101_leaf01_to_server07-3_A.json
102,udp,A,leaf01,192.168.200.7,server07-3,192.168.200.41,2097152,262144,30,250000000.0,937500000,1035911,793,0.000766,6.6409,low,65536,./data/udp_test/A/iperf_udp_sample_000102_leaf01_to_server07-3_A.json
103,udp,A,leaf01,192.168.200.7,server07-4,192.168.200.42,2097152,65536,30,250000000.0,937500000,1035911,784,0.000757,6.123811,low,65536,./data/udp_test/A/iperf_udp_sample_000103_leaf01_to_server07-4_A.json
104,udp,A,leaf01,192.168.200.7,server07-4,192.168.200.42,2097152,65536,30,250000000.0,937500000,1035911,30,2.9e-05,6.699423,low,65536,./data/udp_test/A/iperf_udp_sample_000104_leaf01_to_server07-4_A.json
105,udp,A,leaf01,192.168.200.7,server07-4,192.168.200.42,2097152,65536,30,250000000.0,937500000,1035911,301,0.000291,6.530435,low,65536,./data/udp_test/A/iperf_udp_sample_000105_leaf01_to_server07-4_A.json
106,udp,A,leaf01,192.168.200.7,server08-1,192.168.200.43,2097152,131072,30,250000000.0,937500000,1035911,20,2e-05,6.415846,low,65536,./data/udp_test/A/iperf_udp_sample_000106_leaf01_to_server08-1_A.json
107,udp,A,leaf01,192.168.200.7,server08-1,192.168.200.43,2097152,131072,30,250000000.0,937500000,1035911,186,0.00018,6.074348,low,65536,./data/udp_test/A/iperf_udp_sample_000107_leaf01_to_server08-1_A.json
108,udp,A,leaf01,192.168.200.7,server08-1,192.168.200.43,2097152,131072,30,250000000.0,937500000,1035911,477,0.000461,6.404428,low,65536,./data/udp_test/A/iperf_udp_sample_000108_leaf01_to_server08-1_A.json
109,udp,A,leaf01,192.168.200.7,server08-2,192.168.200.44,2097152,2097152,30,250000000.0,937500000,1035911,949,0.000917,6.560502,low,65536,./data/udp_test/A/iperf_udp_sample_000109_leaf01_to_server08-2_A.json
110,udp,A,leaf01,192.168.200.7,server08-2,192.168.200.44,2097152,2097152,30,250000000.0,937500000,1035911,354,0.000343,6.264905,low,65536,./data/udp_test/A/iperf_udp_sample_000110_leaf01_to_server08-2_A.json
111,udp,A,leaf01,192.168.200.7,server08-2,192.168.200.44,2097152,2097152,30,250000000.0,937500000,1035911,501,0.000484,6.289384,low,65536,./data/udp_test/A/iperf_udp_sample_000111_leaf01_to_server08-2_A.json
112,udp,A,leaf01,192.168.200.7,server08-3,192.168.200.45,2097152,524288,30,250000000.0,937500000,1035911,503,0.000486,6.438603,low,65536,./data/udp_test/A/iperf_udp_sample_000112_leaf01_to_server08-3_A.json
113,udp,A,leaf01,192.168.200.7,server08-3,192.168.200.45,2097152,524288,30,250000000.0,937500000,1035911,567,0.000548,6.136694,low,65536,./data/udp_test/A/iperf_udp_sample_000113_leaf01_to_server08-3_A.json
114,udp,A,leaf01,192.168.200.7,server08-3,192.168.200.45,2097152,524288,30,250000000.0,937500000,1035911,459,0.000443,6.696317,low,65536,./data/udp_test/A/iperf_udp_sample_000114_leaf01_to_server08-3_A.json
115,udp,A,leaf01,192.168.200.7,server08-4,192.168.200.46,2097152,262144,30,250000000.0,937500000,1035911,541,0.000523,6.229832,low,65536,./data/udp_test/A/iperf_udp_sample_000115_leaf01_to_server08-4_A.json
116,udp,A,leaf01,192.168.200.7,server08-4,192.168.200.46,2097152,262144,30,250000000.0,937500000,1035911,130,0.000126,6.379087,low,65536,./data/udp_test/A/iperf_udp_sample_000116_leaf01_to_server08-4_A.json
117,udp,A,leaf01,192.168.200.7,server08-4,192.168.200.46,2097152,262144,30,250000000.0,937500000,1035911,54,5.2e-05,6.069215,low,65536,./data/udp_test/A/iperf_udp_sample_000117_leaf01_to_server08-4_A.json
118,udp,A,leaf01,192.168.200.7,spine01,192.168.200.3,2097152,262144,30,250000000.0,937500000,1035911,938,0.000906,2.063909,low,65536,./data/udp_test/A/iperf_udp_sample_000118_leaf01_to_spine01_A.json
119,udp,A,leaf01,192.168.200.7,spine01,192.168.200.3,2097152,262144,30,250000000.0,937500000,1035911,304,0.000294,2.134732,low,65536,./data/udp_test/A/iperf_udp_sample_000119_leaf01_to_spine01_A.json
120,udp,A,leaf01,192.168.200.7,spine01,192.168.200.3,2097152,262144,30,250000000.0,937500000,1035911,754,0.000729,2.221198,low,65536,./data/udp_test/A/iperf_udp_sample_000120_leaf01_to_spine01_A.json
121,udp,A,leaf01,192.168.200.7,spine02,192.168.200.4,2097152,131072,30,250000000.0,937500000,1035911,757,0.000731,2.044176,low,65536,./data/udp_test/A/iperf_udp_sample_000121_leaf01_to_spine02_A.json
122,udp,A,leaf01,192.168.200.7,spine02,192.168.200.4,2097152,131072,30,250000000.0,937500000,1035911,907,0.000876,2.103273,low,65536,./data/udp_test/A/iperf_udp_sample_000122_leaf01_to_spine02_A.json
